"Player","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST.x","STL","BLK","TOV","PF","PS.G","TEAM","AGE","HEIGHT","WEIGHT","DRAFT.ROUND","DRAFT.NUMBER","GP","PTS","REB","AST.y","NETRTG","OREB.","DREB.","USG.","TS.","AST.","heightnum"
"Cory Joseph",26,"IND",82,17,27,3.1,7.4,0.424,0.8,2.3,0.353,2.3,5,0.457,0.479,0.9,1.1,0.745,0.5,2.7,3.2,3.2,1,0.2,1.1,1.7,7.9,"IND",26,"6-3",190,"1","29",7,4.7,2.4,3,4.4,"1.9%","13.8%","13.7%","46.3%","20.2%",75
"Dakari Johnson",22,"OKC",31,6,5.2,0.7,1.3,0.564,0,0,NA,0.7,1.3,0.564,0.564,0.4,0.6,0.55,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.8,"OKC",22,"7-0",255,"2","48",2,0,0,0,120,"0.0%","0.0%","0.0%","0.0%","0.0%",84
"Damian Jones",22,"GSW",15,0,5.9,0.7,1.5,0.5,0,0,NA,0.7,1.5,0.5,0.5,0.2,0.3,0.6,0.3,0.6,0.9,0.1,0.1,0.2,0.3,0.9,1.7,"GSW",22,"7-0",245,"1","30",4,1,0.8,0,-72.8,"7.1%","28.6%","23.3%","60.2%","0.0%",84
"Damian Lillard",27,"POR",73,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,5.4,10.8,0.501,0.519,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,"POR",27,"6-3",195,"1","6",4,18.5,4.5,4.8,-14,"1.8%","11.2%","24.8%","47.1%","16.5%",75
"Danny Green",30,"SAS",70,60,25.6,3.1,8,0.387,1.7,4.6,0.363,1.4,3.4,0.419,0.49,0.7,0.9,0.769,0.6,3,3.6,1.6,0.9,1.1,1.1,1.7,8.6,"SAS",30,"6-6",215,"2","46",5,4.2,2.2,0.2,-25.3,"4.1%","9.1%","14.7%","35.0%","1.6%",78
"Dante Exum",22,"UTA",14,0,16.8,3,6.2,0.483,0.4,1.3,0.278,2.6,4.9,0.536,0.511,1.8,2.2,0.806,0.3,1.6,1.9,3.1,0.6,0.2,1.4,1.4,8.1,"UTA",22,"6-6",190,"1","5",10,5.1,1.4,1,-8.8,"3.7%","10.1%","23.6%","55.1%","13.7%",78
"Dario Saric",23,"PHI",78,73,29.6,5.2,11.4,0.453,2,5.1,0.393,3.2,6.3,0.501,0.541,2.3,2.7,0.86,2,4.7,6.7,2.6,0.7,0.3,1.9,2.1,14.6,"PHI",24,"6-10",223,"1","12",10,17.2,7.3,3.5,-5.2,"10.3%","14.2%","22.4%","54.6%","17.5%",72
"Darius Miller",27,"NOP",82,3,23.7,2.6,5.9,0.444,1.8,4.4,0.411,0.8,1.6,0.535,0.594,0.7,0.8,0.866,0.2,1.8,2,1.4,0.3,0.2,0.7,2,7.8,"NOP",28,"6-8",225,"2","46",9,4.8,2.2,1.2,2.4,"1.4%","11.4%","11.5%","58.7%","8.6%",80
"Darren Collison",30,"IND",69,64,29.2,4.6,9.2,0.495,1.4,3,0.468,3.2,6.3,0.508,0.571,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,1.8,12.4,"IND",30,"6-2",185,"1","21",7,11.3,3,4.7,2.7,"0.6%","10.1%","17.7%","53.9%","24.1%",74
"David Stockton",26,"UTA",3,0,3,0.7,1,0.667,0.7,1,0.667,0,0,NA,1,1.3,1.3,1,0,0,0,0,0,0,0.3,1,3.3,"UTA",26,"5-11",165,"Undrafted","Undrafted",2,1,0.5,0,11.7,"0.0%","16.7%","22.5%","33.3%","0.0%",61
