"Name","age","GP","Mins","3_pt_attempt","3_pt_pct","2_pt_attempt","2_pt_pct","ft_attempt","ft_pct","off_reb","def_reb","assist","steal","blocks","TO","Fouls","Weight","net_rating","height"
"Shabazz Muhammad",-1.55878973143326,-1.08147068179649,-4.43444794984044,-1.83977247897781,NA,-1.7613501738712,NA,-1.13331211516962,NA,-1.6049603646707,-3.46870688904349,-5.07917504450045,-3.38373602608547,-2.44616614163054,-3.67178671908367,-3.27205890816831,0.0805801701532021,3.92440113183879,0.418969670005544
"Shabazz Napier",-0.846374111989153,0.736332270263697,-0.406150825693096,0.286415084229957,NA,-0.879167081649751,NA,-0.0711157135019656,NA,-2.00406846810635,-1.82630014676066,-0.283504726760953,2.50564254493602,-1.74210356212065,-0.124313175460306,-2.08406544887989,-3.61033451720455,1.74555381573902,-2.06932735490048
"Shane Larkin",-1.55878973143326,-0.129288183098298,-2.65201559402303,-0.915343103670085,NA,-2.37887833842621,NA,-1.48737758239217,NA,-2.40317657154199,-2.64750351790208,-0.816356984287563,-1.42060983574498,-2.44616614163054,-2.25279730163432,-2.08406544887989,-3.61033451720455,-0.0866587000721498,-8.04124021467495
"Shaun Livingston",3.42811960467549,0.606489202259398,-2.11728588727781,-2.30198716663167,NA,-0.349857226316882,NA,-1.25133393757714,NA,-1.6049603646707,-2.64750351790208,-0.283504726760953,-1.42060983574498,-1.03804098261075,-1.54330259290965,-0.599073624769373,-2.24630082839842,3.72632410310244,0.916629074986749
"Solomon Hill",-0.846374111989153,-1.94709113515849,-2.22423182862685,-0.73045722860854,NA,-3.08462481220337,NA,-1.72342122720721,NA,-0.407636054363759,-1.16933744984752,-0.816356984287563,-0.76623443896481,-2.44616614163054,-1.54330259290965,-0.00507689512516416,0.401529273401702,0.0371394428880643,0.916629074986749
"Stephen Curry",1.29087274634317,-0.259131251102597,3.62214629845425,6.66497777385326,NA,1.67916388579245,NA,4.64975718279873,NA,-0.806744157799406,2.27971670894643,10.6399665525346,5.77751952883685,-1.74210356212065,6.26113920306175,1.18291656416325,-2.40677538002267,3.94916076043083,-1.07400854493807
"Sterling Brown",-3.69603658976558,-0.129288183098298,-2.65201559402303,-0.822900166139312,NA,-2.73175157531479,NA,-1.84144304961473,NA,-1.6049603646707,-1.49781879830409,-4.27989665821053,-0.76623443896481,-1.74210356212065,-2.60754465599666,-0.896071989591477,0.802715652462328,2.93401598815707,0.418969670005544
"Steven Adams",-2.27120535087737,0.822894315599897,3.87168682826869,-2.39443010416244,NA,3.61996668867963,NA,2.17129891224086,NA,16.754012393369,1.6227540120333,-2.41491375686739,3.16001794171618,3.89039707395854,1.64942359635137,2.96490675309588,2.80864754776545,-0.383774243176664,3.40492609989278
"T.J. McConnell",-1.55878973143326,0.822894315599897,0.199876175284823,-1.65488660391626,NA,-0.438075535539027,NA,-1.72342122720721,NA,-1.6049603646707,-0.840856101390956,5.04501784850515,3.16001794171618,-1.74210356212065,0.939928887626702,-0.599073624769373,-2.40677538002267,3.75108373169449,-1.57166794991928
"Taj Gibson",3.42811960467549,1.0825804516085,4.04993006385043,-2.02465835403935,NA,3.00243852412462,NA,0.400971576128104,NA,5.97809360060659,2.93667940585957,-2.41491375686739,0.542516354595522,1.77820933542885,-0.479060529822642,2.66790838827378,1.20390203152295,-2.01790973025149,1.91194788494916
"Tarik Black",-0.846374111989153,-0.259131251102597,-4.04231283156061,-2.2095442291009,NA,-2.5553149568705,NA,-0.897268470354587,NA,1.18879635937883,-1.66205947253237,-4.81274891573714,-2.07498523252514,1.07414675591895,-1.89804994727199,0.885918199341149,2.40746116870483,-8.77728833587918,1.91194788494916
"Terrance Ferguson",-5.83328344809791,0.1736789755784,-3.32933988923365,-0.545571353546995,NA,-3.87858959520267,NA,-2.07748669442976,NA,-2.40317657154199,-4.12566958595663,-4.81274891573714,-2.07498523252514,-1.74210356212065,-3.67178671908367,-1.19307035441358,-2.88819903489543,17.0717639142135,0.916629074986749
"Terry Rozier",-2.98362097032148,0.996018406272296,1.44757882435701,2.22771677237618,NA,-0.173420607872593,NA,-0.0711157135019656,NA,-0.407636054363759,1.45851333780501,2.11433043210879,1.85126714815585,-1.74210356212065,-0.833807884184978,-0.896071989591477,-2.40677538002267,1.39891901545042,-1.57166794991928
"Thaddeus Young",1.29087274634317,1.0392994289404,3.69344359268695,-0.36068547848545,NA,2.82600190568033,NA,-1.0152902927621,NA,5.57898549717094,1.6227540120333,-0.549930855524259,6.43189492561701,-0.333978403100849,0.23043417890203,1.18291656416325,0.802715652462328,1.20084198671408,1.41428847996795
"Thon Maker",-5.1208678286538,0.736332270263697,-1.83209671034702,-1.10022897873163,NA,-2.02600510153763,NA,-0.77924664794707,NA,0.390580152507535,-1.66205947253237,-4.01347052944723,-1.42060983574498,1.77820933542885,-2.25279730163432,1.18291656416325,0.241054721777452,4.93954590411254,3.90258550487398
"Tim Frazier",-0.133958492545045,0.0871169302422008,-2.72331288825573,-1.56244366638549,NA,-2.81996988453694,NA,-1.72342122720721,NA,-2.40317657154199,-2.31902216944551,3.18003494716201,0.542516354595522,-2.44616614163054,-0.833807884184978,-0.599073624769373,-4.01152089626518,-6.17752733371468,-2.06932735490048
"Tomas Satoransky",-0.846374111989153,0.693051247595598,0.235524822401172,-1.10022897873163,NA,-1.14382200931619,NA,-0.77924664794707,NA,0.390580152507535,-1.33357812407581,4.77859171974185,-0.111859042184644,-1.74210356212065,-0.479060529822642,-0.00507689512516416,-0.802029863780174,-0.87896681501752,0.916629074986749
"Tony Bradley",-5.1208678286538,-2.07693420316279,-6.64466407105403,-2.30198716663167,NA,-3.61393466753624,NA,-2.07748669442976,NA,-2.00406846810635,-3.63294756327178,-5.34560117326375,-4.6924868196458,-3.15022872114044,-4.38128142780834,-5.05404909710094,2.24698661708058,1.34939975826633,-2.56698675988169
"Tony Parker",5.56536646300782,-0.0860071604301984,-0.833934591089274,-1.74732954144704,NA,1.06163572123744,NA,-0.661224825539552,NA,-3.20139277841329,-2.31902216944551,3.71288720468863,-1.42060983574498,-3.15022872114044,-0.124313175460306,-2.6780621785241,-2.8079617590833,-5.53377699032157,-1.57166794991928
